key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
273,CM,B,Faucon ardoisé,Grey Kestrel,Falco ardosiaceus,Falco ardosiaceus,LC,,Faucon ardoisé,Faucon ardoisé,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
274,CM,B,Faucon chicquera,Red-necked Falcon,Falco chiquera,Falco ruficollis,LC,Faucon chicquera,N/A,Faucon chicquera,FrWiki,"per IUCN, ""Falco chicquera and F. ruficollis (del Hoyo and Collar 2014) were previously lumped as F. chicquera following Sibley and Monroe (1990, 1993)."" We suggest that Falco ruficollis is closer to the intended species here, but expert opinion needed.",Not extant in country && Typo && Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
275,CM,B,Faucon crerellette,Common Kestrel,Falco tinnunculus,Falco tinnunculus,LC,,Faucon Crécerelle,Faucon Crécerelle,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
276,CM,B,Faucon crécerelle,Lesser Kestrel,Falco naumanni,Falco naumanni,LC,,Faucon Crécerellette,Faucon Crécerellette,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
277,CM,B,Faucon de Cuvier,African Hobby,Falco cuvierii,Falco cuvierii,LC,,Hobereau africain,Hobereau africain,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
278,CM,B,Faucon hobereau,Euuropean Hobby,Falco subbuteo,Falco subbuteo,LC,,Faucon Hobereau,Faucon Hobereau,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
279,CM,B,Faucon kobez,Red-footed Falcon,Falco vespertinus,Falco vespertinus,VU,,Faucon kobez,Faucon kobez,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
280,CM,B,Faucon lannier,Lanner Falcon,Falco biarmicus,Falco biarmicus,LC,,Faucon Lanier,Faucon Lanier,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
281,CM,B,Faucon pélerin,Peregrine Falcon,Falco peregrinus,Falco peregrinus,LC,Faucon pèlerin,N/A,Faucon pèlerin,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
282,CM,B,Faucon sacré,Saker Falcon,Falco cherrug,Falco cherrug,EN,,Faucon sacre,Faucon sacre,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
