scientific_name,Common Name,Species Class,Threat Class
Hylomyscus walterverheyeni,Walter Verheyen's Mouse,MAMMALIA,LC
Lophuromys flavopunctatus,Yellow-spotted Brush-furred Rat,MAMMALIA,LC
Lophuromys stanleyi,Stanley's Brush Furred Rat,MAMMALIA,DD
Praomys tullbergi,Tullberg's Soft-furred Mouse,MAMMALIA,LC
Hyperolius jacobseni,Jacobsen's Long Reed Frog,AMPHIBIA,DD
Sylvisorex ollula,Forest Musk Shrew,MAMMALIA,LC
Sylvisorex corbeti,Corbet's Forest Shrew,MAMMALIA,DD
Fukomys vandewoestijneae,Caroline's Mole Rat,MAMMALIA,DD
Felis silvestris,Wild Cat,MAMMALIA,LC
Lophoceros fasciatus,Congo Pied Hornbill,AVES,LC
Merops variegatus,Blue-breasted Bee-eater,AVES,LC
Corythornis cristatus,Malachite Kingfisher,AVES,LC
Buteo buteo,Eurasian Buzzard,AVES,LC
Bubo africanus,Spotted Eagle-owl,AVES,LC
Bubo cinerascens,Greyish Eagle-owl,AVES,LC
Ptilopsis leucotis,Northern White-faced Owl,AVES,LC
Ptilopsis granti,Southern White-faced Owl,AVES,LC
Otus senegalensis,African Scops-owl,AVES,LC
Otus feae,Annobon Scops-owl,AVES,CR
Gelochelidon nilotica,Common Gull-billed Tern,AVES,LC
Gallinula chloropus,Common Moorhen,AVES,LC
Egretta garzetta,Little Egret,AVES,LC
Rhinolophus hildebrandtii,Hildebrandt's Horseshoe Bat,MAMMALIA,LC
Chaerephon pumilus,Little Free-tailed Bat,MAMMALIA,LC
Rhinolophus darlingi,Darling's Horseshoe Bat,MAMMALIA,LC
Hyperolius castaneus,Ahl's Reed Frog,AMPHIBIA,LC
Leptopelis anebos,Young Itombwe Forest Treefrog,AMPHIBIA,EN
Phrynobatrachus jimzimkusi,Jim Zimkus' Puddle Frog,AMPHIBIA,CR
Phrynobatrachus steindachneri,Steindachner's River Frog,AMPHIBIA,CR
Phrynobatrachus njiomock,Lake Oku Puddle Frog,AMPHIBIA,CR
Ptychadena mascareniensis,Mascarene Grass Frog,AMPHIBIA,LC
Pyxicephalus edulis,Lesser Bull-frog,AMPHIBIA,LC
Phrynobatrachus ruthbeateae,Ruth Beate's Puddle Frog,AMPHIBIA,DD
Hyperolius bocagei,Bocage's Reed Frog,AMPHIBIA,LC
Triaenops persicus,Persian Trident Bat,MAMMALIA,LC
Triaenops afer,African Trident Bat,MAMMALIA,LC
Miniopterus schreibersii,Schreiber's Bent-winged Bat,MAMMALIA,NT
Rhinopoma hardwickii,Lesser Mouse-tailed Bat,MAMMALIA,LC
Rhinopoma cystops,Egyptian Mouse-tailed Bat,MAMMALIA,LC
Casinycteris campomaanensis,Campo-Ma’an fruit bat ,MAMMALIA,DD
Epomophorus labiatus,Ethiopian Epauletted Fruit Bat,MAMMALIA,LC
Epomophorus minor,Minor Epauletted Fruit Bat ,MAMMALIA,LC
Megaloglossus woermanni,Woermann's Bat,MAMMALIA,LC
Myonycteris torquata,Little Collared Fruit Bat,MAMMALIA,LC
Scotonycteris zenkeri,Zenker's Fruit Bat,MAMMALIA,LC
Sclerophrys maculata,Hallowell's Toad,AMPHIBIA,LC
Sclerophrys pusilla,Merten's Striped Toad,AMPHIBIA,LC
Pipistrellus grandidieri,Dobson's Pipistrelle,MAMMALIA,DD
Phrynobatrachus petropedetoides,Ruwenzori River Frog,AMPHIBIA,DD
Phrynobatrachus dendrobates,Medje River Frog,AMPHIBIA,LC
Giraffa camelopardalis ssp. antiquorum,Kordofan Giraffe,MAMMALIA,CR
Cardioglossa annulata,Annulated Long-fingered Frog,AMPHIBIA,EN
Cardioglossa congolia,Congolian Long-fingered Frog,AMPHIBIA,NT
Cardioglossa nigromaculata,Blackspotted Long-fingered Frog,AMPHIBIA,LC
Hyperolius viridiflavus,Common Reed Frog,AMPHIBIA,LC
Phrynobatrachus mayokoensis,Mayoko Puddle Frog,AMPHIBIA,DD
Phrynobatrachus horsti,Horst's Puddle Frog,AMPHIBIA,NT
Xenopus calcaratus,Biafran Clawed Frog,AMPHIBIA,DD
Xenopus tropicalis,Tropical Clawed Frog,AMPHIBIA,LC
Xenopus eysoole,Bamiléké Clawed Frog,AMPHIBIA,DD
Xenopus fischbergi,Fischberg's Clawed Frog,AMPHIBIA,LC
Xenopus kobeli,Kobel's Clawed Frog,AMPHIBIA,DD
Xenopus mellotropicalis,Cameroon Clawed Frog,AMPHIBIA,LC
Xenopus allofraseri,False Fraser's Clawed Frog,AMPHIBIA,LC
Xenopus parafraseri,Upland Clawed Frog,AMPHIBIA,LC
Galagoides demidoff ssp. poensis,Bioko Dwarf Galago,MAMMALIA,EN
Lophocebus albigena ssp. osmani,Rusty-mantled Mangabey,MAMMALIA,DD
Chlorocebus pygerythrus ssp. rufoviridis,Reddish-Green Vervet Monkey,MAMMALIA,LC
Cercopithecus pogonias,Crowned Monkey,MAMMALIA,NT
Cercopithecus wolfi,Wolf's Monkey,MAMMALIA,NT
Piliocolobus semlikiensis,Semliki Red Colobus,MAMMALIA,VU
Lophocebus albigena ssp. albigena,Gray-cheeked Mangabey,MAMMALIA,VU
Perodicticus ibeanus ssp. ibeanus,Eastern Potto,MAMMALIA,LC
Cercopithecus mitis ssp. stuhlmanni,Stuhlmann’s Blue Monkey,MAMMALIA,LC
Oriolus oriolus,Eurasian Golden Oriole,AVES,LC
Dyaphorophyia castanea,Chestnut Wattle-eye,AVES,LC
Dyaphorophyia ansorgei,Yellow-bellied Wattle-eye,AVES,LC
Laniarius poensis,Mountain Sooty Boubou,AVES,LC
Laniarius holomelas,Albertine Sooty Boubou,AVES,LC
Telophorus viridis,Gorgeous Bush-shrike,AVES,LC
Dicrurus adsimilis,Fork-tailed Drongo,AVES,LC
Dicrurus modestus,Velvet-mantled Drongo,AVES,LC
Trochocercus bivittatus,Eastern Crested-flycatcher,AVES,LC
Terpsiphone rufocinerea,Rufous-vented Paradise-flycatcher,AVES,LC
Terpsiphone batesi,Bates's Paradise-flycatcher,AVES,LC
Lanius isabellinus,Isabelline Shrike,AVES,LC
Lanius phoenicuroides,Red-tailed Shrike,AVES,LC
Lanius excubitor,Great Grey Shrike,AVES,LC
Crithagra canicapilla,West African Seedeater,AVES,LC
Crithagra reichardi,Reichard's Seedeater,AVES,LC
Crithagra gularis,Streaky-headed Seedeater,AVES,LC
Melaniparus rufiventris,Rufous-bellied Tit,AVES,LC
Stiphrornis xanthogaster,Yellow-breasted Forest-robin,AVES,LC
Stiphrornis erythrothorax,Orange-breasted Forest-robin,AVES,LC
Mirafra javanica,Horsfield's Bushlark,AVES,LC
Calandrella cinerea,Red-capped Lark,AVES,LC
Calandrella brachydactyla,Greater Short-toed Lark,AVES,LC
Sylvietta brachyura,Northern Crombec,AVES,LC
Sheppardia bocagei,Bocage's Akalat,AVES,LC
Sheppardia poensis,Short-tailed Akalat,AVES,LC
Emberiza tahapisi,Cinnamon-breasted Bunting,AVES,LC
Emberiza goslingi,Grey-throated Bunting,AVES,LC
Apalis flavida,Yellow-breasted Apalis,AVES,LC
Oenanthe oenanthe,Northern Wheatear,AVES,LC
Calamonastes undosus,Miombo Wren-warbler,AVES,LC
Camaroptera brachyura,Bleating Camaroptera,AVES,LC
Camaroptera chloronota,Olive-green Camaroptera,AVES,LC
Camaroptera toroensis,Tawny-breasted Camaroptera,AVES,LC
Cisticola aberrans,Lazy Cisticola,AVES,LC
Cisticola marginatus,Winding Cisticola,AVES,LC
Cisticola luapula,Luapula Cisticola,AVES,LC
Cisticola brunnescens,Pectoral-patch Cisticola,AVES,LC
Cisticola cinnamomeus,Pale-crowned Cisticola,AVES,LC
Calamonastides gracilirostris,Papyrus Yellow Warbler,AVES,VU
Calamonastides bensoni,Zambian Yellow Warbler,AVES,VU
Deleornis fraseri,Fraser's Sunbird,AVES,LC
Deleornis axillaris,Grey-headed Sunbird,AVES,LC
Anthreptes tephrolaemus,Grey-chinned Sunbird,AVES,LC
Bradypterus baboecala,Little Rush-warbler,AVES,LC
Bradypterus centralis,Highland Rush-warbler,AVES,LC
Cinnyris gertrudis,Western Miombo Sunbird,AVES,LC
Cinnyris stuhlmanni,Ruwenzori Double-collared Sunbird,AVES,LC
Cinnyris prigoginei,Prigogine's Double-collared Sunbird,AVES,NT
Cinnyris pulchellus,Beautiful Sunbird,AVES,LC
Cinnyris bifasciatus,Purple-banded Sunbird,AVES,LC
Euplectes ardens,Red-collared Widowbird,AVES,LC
Ploceus nigricollis,Black-necked Weaver,AVES,LC
Ploceus brachypterus,Olive-naped Weaver,AVES,LC
Delichon urbicum,Northern House Martin,AVES,LC
Ploceus katangae,Katanga Masked Weaver,AVES,LC
Ploceus upembae,Upemba Masked Weaver,AVES,DD
Ploceus nigerrimus,Vieillot's Black Weaver,AVES,LC
Anaplectes rubriceps,Southern Red-headed Weaver,AVES,LC
Anaplectes leuconotos,Northern Red-headed Weaver,AVES,LC
Cecropis daurica,Red-rumped Swallow,AVES,LC
Lagonosticta rhodopareia,Jameson's Firefinch,AVES,LC
Lagonosticta umbrinodorsalis,Chad Firefinch,AVES,LC
Lagonosticta nigricollis,Grey Firefinch,AVES,LC
Pytilia phoenicoptera,Red-winged Pytilia,AVES,LC
Estrilda atricapilla,Black-headed Waxbill,AVES,LC
Estrilda kandti,Kandt's Waxbill,AVES,LC
Coccopygia quartinia,Yellow-bellied Waxbill,AVES,LC
Riparia paludicola,African Plain Martin,AVES,LC
Riparia riparia,Collared Sand Martin,AVES,LC
Bleda notatus,Yellow-lored Bristlebill,AVES,LC
Bleda ugandae,Yellow-eyed Bristlebill,AVES,LC
Atimastillas flavicollis,Yellow-throated Greenbul,AVES,LC
Atimastillas flavigula,Pale-throated Greenbul,AVES,LC
Arizelocichla nigriceps,Eastern Mountain Greenbul,AVES,LC
Vidua interjecta,Exclamatory Paradise-whydah,AVES,LC
Vidua orientalis,Sahel Paradise-whydah,AVES,LC
Passer domesticus,House Sparrow,AVES,LC
Phyllastrephus albigularis,White-throated Greenbul,AVES,LC
Anthus richardi,Richard's Pipit,AVES,LC
Anthus nyassae,Woodland Pipit,AVES,LC
Anthus similis,Long-billed Pipit,AVES,LC
Anthus cinnamomeus,African Pipit,AVES,LC
Motacilla flava,Western Yellow Wagtail,AVES,LC
Phylloscopus collybita,Common Chiffchaff,AVES,LC
Illadopsis rufipennis,Pale-breasted Illadopsis,AVES,LC
Phyllanthus rubiginosus,Black-crowned Capuchin Babbler,AVES,NT
Phyllanthus bohndorffi,Grey-caped Capuchin Babbler,AVES,LC
Onychognathus morio,Red-winged Starling,AVES,LC
Onychognathus neumanni,Neumann's Starling,AVES,LC
Sylvia abyssinica,African Hill-babbler,AVES,LC
Sylvia atriceps,Ruwenzori Hill-babbler,AVES,LC
Sylvia cantillans,Subalpine Warbler,AVES,LC
Stizorhina fraseri,Rufous Flycatcher-thrush,AVES,LC
Salpornis salvadori,African Spotted Creeper,AVES,LC
Psophocichla litsitsirupa,Groundscraper Thrush,AVES,LC
Ptyonoprogne rufigula,Red-throated Rock Martin,AVES,LC
Laniarius aethiopicus,Tropical Boubou,AVES,LC
Acrocephalus arundinaceus,Great Reed-warbler,AVES,LC
Spermestes bicolor,Black-and-white Mannikin,AVES,LC
Lamprotornis chloropterus,Lesser Blue-eared Starling,AVES,LC
Hylomyscus vulcanorum,Albertine Rift Wood Mouse,MAMMALIA,LC
Myosorex kabogoensis,Misotshi-Kabogo Myosorex,MAMMALIA,DD
Crocidura lwiroensis,Lwiro Shrew,MAMMALIA,DD
Cricetomys gambianus,Gambian Rat,MAMMALIA,LC
Cricetomys ansorgei,East African Savannah Pouched Rat,MAMMALIA,LC
Scutisorex thori,Thor’s Hero Shrew,MAMMALIA,DD
Crocidura goliath,Goliath Shrew,MAMMALIA,LC
Amietia chapini,Chapin's River Frog,AMPHIBIA,LC
Amietia nutti,Nutt's River Frog,AMPHIBIA,LC
Hybomys badius,Cameroon Highland Hybomys,MAMMALIA,EN
Hybomys eisentrauti,Eisentraut's Striped Mouse,MAMMALIA,EN
Canis lupaster,African Wolf,MAMMALIA,LC
Phyllastrephus icterinus,Icterine Greenbul,AVES,LC
Hydrobates castro,Band-rumped Storm-petrel,AVES,LC
Hydrobates leucorhous,Leach's Storm-petrel,AVES,VU
Acanthocercus ugandaensis,Uganda Blue-headed Tree Agama,REPTILIA,LC
Chelonia mydas South Atlantic subpopulation,Green Turtle,REPTILIA,LC
Otus scops,Eurasian Scops-owl,AVES,LC
Cypsiurus parvus,African Palm-swift,AVES,LC
Schoutedenapus myoptilus,Scarce Swift,AVES,LC
