scientific_name,Common Name,Species Class,Threat Class
Praomys hartwigi,Hartwig's Soft-furred Mouse,MAMMALIA,VU
Praomys minor,Least Soft-furred Mouse,MAMMALIA,LC
Praomys morio,Cameroon Soft-furred Mouse,MAMMALIA,EN
Praomys mutoni,Riverine Soft-furred Mouse,MAMMALIA,NT
Prionomys batesi,Dollman's Tree Mouse,MAMMALIA,DD
Piliocolobus bouvieri,Bouvier’s Red Colobus,MAMMALIA,EN
Piliocolobus foai,Foa's Red Colobus,MAMMALIA,EN
Piliocolobus oustaleti,Oustalet’s Red Colobus,MAMMALIA,VU
Piliocolobus tholloni,Tshuapa Red Colobus,MAMMALIA,VU
Piliocolobus langi,Lang's Red Colobus,MAMMALIA,EN
Piliocolobus lulindicus,Ulindi River Red Colobus,MAMMALIA,EN
Caracal aurata,African Golden Cat,MAMMALIA,VU
Pseudorca crassidens,False Killer Whale,MAMMALIA,NT
Raphicerus sharpei,Sharpe's Grysbok,MAMMALIA,LC
Redunca fulvorufula ssp. adamauae,Western Mountain Reedbuck,MAMMALIA,EN
Redunca arundinum,Southern Reedbuck,MAMMALIA,LC
Redunca fulvorufula,Mountain Reedbuck,MAMMALIA,EN
Redunca redunca,Bohor Reedbuck,MAMMALIA,LC
Rhinolophus blasii,Blasius's Horseshoe Bat,MAMMALIA,LC
Rhinolophus adami,Adam's Horseshoe Bat,MAMMALIA,DD
Rhinolophus clivosus,Geoffroy's Horseshoe Bat,MAMMALIA,LC
Rhinolophus denti,Dent's Horseshoe Bat,MAMMALIA,LC
Rhinolophus eloquens,Eloquent Horseshoe Bat,MAMMALIA,LC
Rhinolophus silvestris,Forest Horseshoe Bat,MAMMALIA,DD
Rhinolophus swinnyi,Swinny's Horseshoe Bat,MAMMALIA,LC
Rhinopoma microphyllum,Greater Mouse-tailed Bat,MAMMALIA,LC
Rhynchocyon cirnei,Chequered Sengi,MAMMALIA,LC
Ruwenzorisorex suncoides,Ruwenzori Shrew,MAMMALIA,VU
Saccolaimus peli,Pel's Pouched Bat,MAMMALIA,LC
Scotoecus albofuscus,Light-winged Lesser House Bat,MAMMALIA,DD
Scotoecus hirundo,Dark-winged Lesser House Bat,MAMMALIA,LC
Scotonycteris ophiodon,Pohle's Fruit Bat,MAMMALIA,NT
Scotophilus leucogaster,White-bellied Yellow Bat,MAMMALIA,LC
Scotophilus nigrita,Giant House Bat,MAMMALIA,LC
Sousa teuszii,Atlantic Humpback Dolphin,MAMMALIA,CR
Stenella attenuata,Pantropical Spotted Dolphin,MAMMALIA,LC
Stenella clymene,Clymene Dolphin,MAMMALIA,LC
Stenella coeruleoalba,Striped Dolphin,MAMMALIA,LC
Stenella frontalis,Atlantic Spotted Dolphin,MAMMALIA,LC
Steno bredanensis,Rough-toothed Dolphin,MAMMALIA,LC
Sylvicapra grimmia,Common Duiker,MAMMALIA,LC
Sylvisorex vulcanorum,Volcano Shrew,MAMMALIA,LC
Sylvisorex isabellae,Bioko Forest Shrew,MAMMALIA,VU
Sylvisorex morio,Arrogant Shrew,MAMMALIA,EN
Sylvisorex oriundus,Lesser Forest Shrew,MAMMALIA,DD
Syncerus caffer,African Buffalo,MAMMALIA,NT
Tachyoryctes splendens,East African Mole Rat,MAMMALIA,LC
Tadarida fulminans,Malagasy Free-tailed Bat,MAMMALIA,LC
Tadarida ventralis,African Giant Free-tailed Bat,MAMMALIA,DD
Taphozous mauritianus,Mauritian Tomb Bat,MAMMALIA,LC
Taphozous nudiventris,Naked-rumped Tomb Bat,MAMMALIA,LC
Taphozous perforatus,Egyptian Tomb Bat,MAMMALIA,LC
Gerbilliscus kempi,Kemp's Gerbil,MAMMALIA,LC
Gerbilliscus robustus,Fringe-tailed Gerbil,MAMMALIA,LC
Taterillus lacustris,Lake Chad Gerbil,MAMMALIA,LC
Thamnomys venustus,Charming Thicket Rat,MAMMALIA,LC
Thamnomys kempi,Kemp's Thicket Rat,MAMMALIA,VU
Tragelaphus eurycerus,Bongo,MAMMALIA,NT
Tragelaphus spekii,Sitatunga,MAMMALIA,LC
Tragelaphus scriptus,Bushbuck,MAMMALIA,LC
Tragelaphus strepsiceros,Greater Kudu,MAMMALIA,LC
Tragelaphus oryx,Common Eland,MAMMALIA,LC
Tragelaphus eurycerus ssp. eurycerus,Lowland Bongo,MAMMALIA,NT
Tragelaphus derbianus ssp. gigas,Eastern Giant Eland,MAMMALIA,VU
Trichechus senegalensis,African Manatee,MAMMALIA,VU
Tursiops truncatus,Common Bottlenose Dolphin,MAMMALIA,LC
Vulpes pallida,Pale Fox,MAMMALIA,LC
Xerus erythropus,Striped Ground Squirrel,MAMMALIA,LC
Zenkerella insignis,Cameroon Scaly-tail,MAMMALIA,LC
Ziphius cavirostris,Cuvier's Beaked Whale,MAMMALIA,LC
Rousettus aegyptiacus,Egyptian Fruit Bat,MAMMALIA,LC
Diceros bicornis ssp. longipes,Western Black Rhino,MAMMALIA,EX
Diceros bicornis ssp. minor,South-eastern Black Rhino,MAMMALIA,CR
Gorilla beringei,Eastern Gorilla,MAMMALIA,CR
Gorilla beringei ssp. graueri,Grauer's Gorilla,MAMMALIA,CR
Gorilla gorilla ssp. diehli,Cross River Gorilla,MAMMALIA,CR
Gorilla beringei ssp. beringei,Mountain Gorilla,MAMMALIA,EN
Sciurocheirus alleni ssp. alleni,Bioko Squirrel Galago,MAMMALIA,EN
Euoticus pallidus ssp. pallidus,Bioko Needle-clawed Galago,MAMMALIA,EN
Colobus satanas ssp. satanas,Bioko Black Colobus,MAMMALIA,EN
Pan troglodytes ssp. ellioti,Nigeria-Cameroon Chimpanzee,MAMMALIA,EN
Huetia leucorhina,Congo Golden Mole,MAMMALIA,DD
Chrysochloris stuhlmanni,Stuhlmann's Golden Mole,MAMMALIA,LC
Atelerix albiventris,Four-toed Hedgehog,MAMMALIA,LC
Papio anubis,Olive Baboon,MAMMALIA,LC
Piliocolobus parmentieri,Lomami Red Colobus,MAMMALIA,EN
Galagoides demidoff,Demidoff's Dwarf Galago,MAMMALIA,LC
Galagoides thomasi,Thomas's Dwarf Galago,MAMMALIA,LC
Equus quagga,Plains Zebra,MAMMALIA,NT
Piliocolobus pennantii,Pennant's Red Colobus,MAMMALIA,CR
Piliocolobus preussi,Preuss’s Red Colobus,MAMMALIA,CR
Poelagus marjorita,Bunyoro Rabbit,MAMMALIA,LC
Crocidura mutesae,Ugandan Musk Shrew,MAMMALIA,DD
Crocidura olivieri,Olivier's Shrew,MAMMALIA,LC
Crocidura tarella,Ugandan Shrew,MAMMALIA,EN
Myosorex babaulti,Babault's Mouse Shrew,MAMMALIA,LC
Sylvisorex lunaris,Moon Forest Shrew,MAMMALIA,NT
Orycteropus afer,Aardvark,MAMMALIA,LC
Nycticeinops schlieffeni,Schlieffen's Bat,MAMMALIA,LC
Miopithecus ogouensis,Northern Talapoin Monkey,MAMMALIA,NT
Nandinia binotata,African Palm Civet,MAMMALIA,LC
Atilax paludinosus,Marsh Mongoose,MAMMALIA,LC
Bdeogale crassicauda,Bushy-tailed Mongoose,MAMMALIA,LC
Bdeogale nigripes,Black-legged Mongoose,MAMMALIA,LC
Crossarchus alexandri,Alexander's Cusimanse,MAMMALIA,LC
Crossarchus ansorgei,Ansorge's Cusimanse,MAMMALIA,LC
Crossarchus platycephalus,Flat-headed Cusimanse,MAMMALIA,LC
Dologale dybowskii,Pousargues's Mongoose,MAMMALIA,DD
Pelusios subniger,Black-bellied Hinged Terrapin,REPTILIA,LR/lc
Herpestes sanguineus,Common Slender Mongoose,MAMMALIA,LC
Helogale parvula,Common Dwarf Mongoose,MAMMALIA,LC
Herpestes ichneumon,Egyptian Mongoose,MAMMALIA,LC
Herpestes naso,Long-nosed Mongoose,MAMMALIA,LC
Ichneumia albicauda,White-tailed Mongoose,MAMMALIA,LC
Mungos mungo,Banded Mongoose,MAMMALIA,LC
Rhynchogale melleri,Meller's Mongoose,MAMMALIA,LC
Mellivora capensis,Honey Badger,MAMMALIA,LC
Ictonyx striatus,Zorilla,MAMMALIA,LC
Poecilogale albinucha,African Striped Weasel,MAMMALIA,LC
Civettictis civetta,African Civet,MAMMALIA,LC
Genetta angolensis,Miombo Genet,MAMMALIA,LC
Genetta genetta,Common Genet,MAMMALIA,LC
Genetta maculata,Large-spotted Genet,MAMMALIA,LC
Genetta servalina,Servaline Genet,MAMMALIA,LC
Genetta thierryi,Hausa Genet,MAMMALIA,LC
Genetta victoriae,Giant Genet,MAMMALIA,LC
