taxonid,scientific_name,subspecies,rank,subpopulation,category,Common Name,Species Class,Threat Class
54436,Leptodactylodon perreti,,,,EN,Perret's Egg Frog,AMPHIBIA,EN
54437,Leptodactylodon polyacanthus,,,,VU,African Egg Frog,AMPHIBIA,VU
54439,Leptodactylodon ventrimarmoratus,,,,VU,Speckled Egg Frog,AMPHIBIA,VU
54442,Scotobleps gabonicus,,,,LC,Gaboon Forest Frog,AMPHIBIA,LC
54443,Trichobatrachus robustus,,,,LC,Hairy Frog,AMPHIBIA,LC
54600,Sclerophrys camerunensis,,,,LC,Oban Toad,AMPHIBIA,LC
54653,Sclerophrys gracilipes,,,,LC,French Congo Toad,AMPHIBIA,LC
54688,Sclerophrys latifrons,,,,LC,High Tropical Forest Toad,AMPHIBIA,LC
54729,Sclerophrys pentoni,,,,LC,Penton's Toad,AMPHIBIA,LC
54765,Sclerophrys steindachneri,,,,LC,Steindachner's Toad,AMPHIBIA,LC
54794,Sclerophrys villiersi,,,,VU,Villiers' Toad,AMPHIBIA,VU
54799,Sclerophrys xeros,,,,LC,Subsaharan Toad,AMPHIBIA,LC
54811,Didynamipus sjostedti,,,,VU,Four-digit Toad,AMPHIBIA,VU
54893,Werneria bambutensis,,,,CR,Bamboutos Smalltongue Toad,AMPHIBIA,CR
54894,Werneria mertensiana,,,,CR,Mertens' Smalltongue Toad,AMPHIBIA,CR
54895,Werneria preussi,,,,EN,Buea Smalltongue Toad,AMPHIBIA,EN
54896,Werneria tandyi,,,,CR,Tandy's Smalltongue Toad,AMPHIBIA,CR
54898,Wolterstorffina mirei,,,,EN,Mount Okou Wolterstorff Toad,AMPHIBIA,EN
54899,Wolterstorffina parvipalmata,,,,CR,Cameroon Wolterstorff Toad,AMPHIBIA,CR
55279,Hemisus guineensis,,,,LC,Guinea Snout-burrower,AMPHIBIA,LC
55281,Hemisus marmoratus,,,,LC,Marbled Snout-burrower,AMPHIBIA,LC
56055,Acanthixalus spinosus,,,,LC,African Wart Frog,AMPHIBIA,LC
56066,Afrixalus lacteus,,,,EN,Cameroon Banana Frog,AMPHIBIA,EN
56076,Afrixalus schneideri,,,,DD,Schneider's Banana Frog,AMPHIBIA,DD
56085,Afrixalus weidholzi,,,,LC,Weidholz's Banana Frog,AMPHIBIA,LC
56090,Arlequinus krebsi,,,,EN,Mebebque Frog,AMPHIBIA,EN
56092,Hyperolius koehleri,,,,LC,Koehler's Green Frog,AMPHIBIA,LC
56109,Hyperolius acutirostris,,,,LC,Sharpsnout Reed Frog,AMPHIBIA,LC
56110,Hyperolius ademetzi,,,,EN,Bamenda Reed Frog,AMPHIBIA,EN
56120,Hyperolius bopeleti,,,,VU,Dizangue Reed Frog,AMPHIBIA,VU
56131,Hyperolius endjami,,,,LC,Yaounde Reed Frog,AMPHIBIA,LC
56137,Hyperolius fusciventris,,,,LC,Lime Reed Frog,AMPHIBIA,LC
56141,Hyperolius guttulatus,,,,LC,Dotted Reed Frog,AMPHIBIA,LC
56198,Hyperolius riggenbachi,,,,LC,Riggenbach's Reed Frog,AMPHIBIA,LC
56211,Hyperolius sylvaticus,,,,LC,Bobiri Reed Frog,AMPHIBIA,LC
56216,Hyperolius tuberculatus,,,,LC,Rainforest Reed Frog,AMPHIBIA,LC
56226,Kassina cassinoides,,,,LC,Silver Running Frog,AMPHIBIA,LC
56233,Kassina maculosa,,,,LC,Marbled Running Frog,AMPHIBIA,LC
56236,Kassina senegalensis,,,,LC,Senegal Land Frog,AMPHIBIA,LC
56266,Leptopelis modestus,,,,LC,Modest Forest Treefrog,AMPHIBIA,LC
56280,Leptopelis rufus,,,,LC,Red Treefrog,AMPHIBIA,LC
56295,Phlyctimantis leonardi,,,,LC,Olive Striped Frog,AMPHIBIA,LC
58074,Phrynobatrachus africanus,,,,LC,African Swamp Frog,AMPHIBIA,LC
58078,Petropedetes cameronensis,,,,LC,Cameroon Water Frog,AMPHIBIA,LC
58079,Petropedetes johnstoni,,,,NT,Johnston's Water Frog,AMPHIBIA,NT
58081,Petropedetes newtoni,,,,LC,Newton's Water Frog,AMPHIBIA,LC
58082,Petropedetes palmipes,,,,VU,Efulen Water Frog,AMPHIBIA,VU
58084,Petropedetes perreti,,,,EN,Perret's Water Frog,AMPHIBIA,EN
58095,Phrynobatrachus auritus,,,,LC,Eared River Frog,AMPHIBIA,LC
58100,Phrynobatrachus calcaratus,,,,LC,Boutry River Frog,AMPHIBIA,LC
58103,Phrynobatrachus cricogaster,,,,NT,Nkongsamba River Frog,AMPHIBIA,NT
58125,Phrynobatrachus manengoubensis,,,,CR,Manengouba River Frog,AMPHIBIA,CR
58168,Xenopus amieti,,,,VU,Volcano Clawed Frog,AMPHIBIA,VU
